Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
436,inSure DeFi,SURE,"$99,745,983",$0.003723,26.790.063.175 SURE *,$115.774,"0,12%","-3,32%","10,03%"
437,MARINADE STAKED SOL,MSOL,"$98,848,658",$198.49,498.000 MSOL *,$47.162.126,"-0,44%","2,22%","3,25%"
438,Harvest Finance,FARM,"$98,520,360",$155.41,633.954 FARM *,$17.662.404,"0,03%","0,71%","-6,30%"
439,Sentinel Protocol,UPP,"$98,158,967",$0.2137,459.429.451 UPP *,$52.698.086,"1,21%","6,83%","5,27%"
440,ADAPad,ADAPAD,"$97,431,309",$0.8282,117.642.373 ADAPAD *,$2.081.695,"-1,78%","0,14%","-0,04%"
441,PARSIQ,PRQ,"$96,582,090",$0.7508,128.633.483 PRQ *,$1.563.131,"-0,30%","-3,21%","5,61%"
442,xDai,STAKE,"$95,784,741",$13.55,7.067.952 STAKE *,$1.575.830,"0,07%","-0,85%","9,61%"
443,MonaCoin,MONA,"$95,664,139",$1.46,65.729.675 MONA,$1.558.174,"0,17%","0,46%","-1,38%"
444,Beefy Finance,BIFI,"$95,445,727","$1,325.64",72.000 BIFI *,$2.072.885,"-0,23%","-4,02%","9,11%"
445,MiL.k,MLK,"$95,145,305",$1.22,78.160.812 MLK *,$65.818.322,"-0,33%","6,33%","6,72%"
446,Centrality,CENNZ,"$94,453,496",$0.07871,1.200.000.000 CENNZ *,$2.103.538,"-0,26%","3,87%","7,20%"
447,Aion,AION,"$94,038,095",$0.189,497.629.537 AION,$24.750.454,"3,10%","11,54%","3,40%"
448,DeversiFi,DVF,"$93,527,507",$3.87,24.147.148 DVF *,$322.557,"-0,01%","-0,97%","-7,93%"
449,cVault.finance,CORE,"$92,306,712","$9,230.67",10.000 CORE *,$189.187,"0,77%","-10,99%","-4,45%"
450,BNBPay,BPAY,"$92,314,395",$0.01511,6.110.021.585 BPAY *,$795.674,"-2,11%","4,49%","5,16%"
451,Kava Lend,HARD,"$92,259,114",$1.01,91.666.667 HARD *,$29.597.571,"0,08%","5,09%","-2,42%"
452,Presearch,PRE,"$92,093,787",$0.2322,396.578.435 PRE *,$1.703.657,"-0,27%","-2,93%","-26,25%"
453,Gas,GAS,"$91,438,003",$9.03,10.128.375 GAS *,$16.784.172,"0,36%","3,79%","-6,00%"
454,HUNT,HUNT,"$91,414,603",$0.8284,110.357.399 HUNT *,$67.905.256,"0,62%","-1,22%","8,99%"
455,SafeMoon Inu,SMI,"$91,150,022",$0.00009115,1.000.000.000.000 SMI *,$4.623.189,"8,45%","-4,72%","236,91%"
456,XeniosCoin,XNC,"$91,094,845",$1.19,76.274.958 XNC *,$46.701,"0,13%","-0,68%","0,58%"
457,OpenOcean,OOE,"$90,717,819",$0.6052,149.895.377 OOE *,$5.418.693,"1,87%","-3,88%","-16,21%"
458,DAO Maker,DAO,"$90,365,208",$2.45,36.839.436 DAO *,$3.780.103,"-1,45%","-1,33%","-12,57%"
459,SUKU,SUKU,"$88,918,686",$0.7463,119.149.903 SUKU *,$1.394.166,"0,99%","-5,32%","-9,20%"
460,Deeper Network,DPR,"$88,466,302",$0.1119,790.906.186 DPR *,$2.627.380,"0,87%","7,36%","3,02%"
461,Impossible Decentralized Incubator Access,IDIA,"$87,688,050",$1.95,45.000.000 IDIA *,$7.898.214,"4,75%","33,67%","82,29%"
462,Energi,NRG,"$87,562,582",$1.88,46.481.848 NRG,$292.291,"-0,49%","-3,76%","-4,41%"
463,MCDEX Token,MCB,"$87,347,203",$47.11,1.854.178 MCB *,$2.050.772,"0,02%","-1,44%","-15,10%"
464,Elastos,ELA,"$87,341,255",$4.41,19.809.686 ELA,$2.711.774,"-1,09%","-2,82%","0,35%"
465,Refereum,RFR,"$87,246,082",$0.01745,4.999.180.100 RFR *,$25.487.086,"-0,96%","2,52%","-2,58%"
466,ZKSwap,ZKS,"$87,032,552",$0.4408,197.440.000 ZKS *,$7.095.132,"-0,54%","-3,07%","-15,55%"
467,Revolution Populi,RVP,"$85,747,809",$0.07146,1.200.000.003 RVP *,$1.092.144,"0,78%","3,03%","-9,43%"
468,Alpha Quark Token,AQT,"$85,744,076",$4.14,20.726.978 AQT *,$84.029.675,"0,08%","-3,69%","4,67%"
469,Velo,VELO,"$85,569,439",$0.2528,338.521.544 VELO *,$3.919.761,"-1,16%","-5,03%","-7,60%"
470,e-Radix,EXRD,"$84,765,126",$0.1154,734.834.633 EXRD *,$1.182.805,"0,54%","-7,09%","-3,95%"
471,Aergo,AERGO,"$84,716,487",$0.3209,264.019.890 AERGO *,$25.917.069,"0,83%","3,95%","4,07%"
472,Wrapped NXM,WNXM,"$83,936,847",$50.05,1.676.964 WNXM *,$6.459.112,"0,33%","-1,16%","-11,05%"
473,MetisDAO,METIS,"$83,444,692",$66.20,1.260.400 METIS *,$11.703.859,"1,13%","6,17%","13,33%"
474,CEEK VR,CEEK,"$83,405,522",$0.1131,737.545.460 CEEK *,$17.921.734,"-4,84%","-2,97%","355,07%"
475,Groestlcoin,GRS,"$83,404,637",$1.06,78.710.364 GRS,$26.987.812,"1,23%","8,21%","7,78%"
476,SpiritSwap,SPIRIT,"$83,208,994",$0.3337,249.353.276 SPIRIT *,$4.481.499,"-0,27%","-6,12%","-21,05%"
477,Tokenlon Network Token,LON,"$83,165,328",$2.06,40.467.203 LON *,$6.777.864,"0,52%","-2,40%","-1,06%"
478,LTO Network,LTO,"$83,007,749",$0.2839,292.333.572 LTO *,$8.784.980,"-1,39%","0,94%","5,80%"
479,Bluzelle,BLZ,"$82,964,759",$0.2699,307.344.543 BLZ *,$55.581.574,"1,35%","12,44%","8,99%"
480,Darma Cash,DMCH,"$81,857,405",$0.3797,215.592.060 DMCH *,$59.934,"0,00%","28,12%","12,68%"
481,Hegic,HEGIC,"$81,785,801",$0.1315,621.810.734 HEGIC *,$4.991.567,"0,07%","-3,94%","-9,74%"
482,Divi,DIVI,"$81,691,311",$0.03171,2.576.277.863 DIVI,$157.405,"0,20%","-1,21%","4,37%"
483,Safe,SAFE,"$81,083,308",$3.89,20.835.499 SAFE *,$?,"-0,01%","17,41%","35,76%"
484,Aurox,URUS,"$80,342,722",$153.93,521.929 URUS *,$833.007,"-0,04%","-7,79%","20,00%"
485,Bytom,BTM,"$80,258,353",$0.04976,1.612.843.419 BTM,$12.099.469,"0,04%","-2,06%","-8,35%"
486,Kleros,PNK,"$80,211,631",$0.1298,618.100.316 PNK *,$2.599.313,"0,25%","0,64%","-3,57%"
487,MANTRA DAO,OM,"$80,159,064",$0.2256,355.327.969 OM *,$11.437.417,"-1,07%","0,60%","-6,38%"
488,Rai Reflex Index,RAI,"$79,919,916",$3.04,26.259.024 RAI *,$2.662.284,"0,18%","-0,07%","-0,26%"
489,Define,DFA,"$79,636,923",$1.91,41.770.833 DFA *,$66.529.530,"-0,05%","2,65%","-9,65%"
490,SSV Network,SSV,"$79,028,338",$7.90,10.000.000 SSV *,$3.349.622,"1,01%","-4,42%","-35,51%"
491,Ribbon Finance,RBN,"$78,856,754",$1.99,39.589.271 RBN *,$11.460.792,"-2,32%","15,48%","-26,33%"
492,Dego Finance,DEGO,"$78,659,117",$9.14,8.607.383 DEGO *,$74.847.645,"-0,98%","-3,15%","9,80%"
493,Splintershards,SPS,"$78,577,210",$0.4501,174.560.214 SPS *,$7.410.457,"1,19%","-11,86%","-27,25%"
494,Lido DAO Token,LDO,"$78,433,465",$3.20,24.539.273 LDO *,$3.757.593,"0,13%","-6,73%","-9,84%"
495,PAC Protocol,PAC,"$77,916,015",$0.004984,15.631.770.966 PAC,$435.116,"-0,40%","-3,35%","2,12%"
496,BEPRO Network,BEPRO,"$78,108,703",$0.01155,6.764.991.106 BEPRO *,$3.474.794,"2,75%","-0,47%","-2,79%"
497,MultiVAC,MTV,"$77,868,203",$0.02171,3.587.369.426 MTV *,$7.503.925,"4,16%","-7,49%","2,63%"
498,EFFORCE,WOZX,"$77,519,253",$0.4961,156.246.347 WOZX *,$1.326.173,"-0,11%","-2,11%","-28,91%"
499,RMRK,RMRK,"$76,876,700",$8.09,9.500.000 RMRK *,$2.459.163,"-0,09%","-1,81%","-13,03%"
500,Waltonchain,WTC,"$76,738,885",$0.9831,78.058.907 WTC *,$8.497.167,"1,25%","1,23%","0,19%"
501,Liquity,LQTY,"$76,548,525",$6.44,11.883.462 LQTY *,$1.933.571,"3,88%","21,15%","14,88%"
502,Edgeware,EDG,"$76,466,714",$0.01305,5.861.161.752 EDG *,$1.544.489,"-0,99%","-4,61%","-20,75%"
503,Nimiq,NIM,"$76,291,632",$0.008958,8.516.431.095 NIM,$1.246.728,"0,17%","-3,42%","32,97%"
504,Flamingo,FLM,"$76,189,640",$0.5079,150.000.000 FLM *,$34.966.245,"0,23%","4,79%","-6,75%"
505,Frontier,FRONT,"$75,463,163",$1.09,69.387.500 FRONT *,$16.828.616,"-0,28%","-0,70%","-13,06%"
506,Galaxy Heroes Coin,GHC,"$75,564,010",$0.00000007556,1.000.000.000.000.000 GHC *,$5.371.413,"-2,01%","37,95%","260,46%"
507,BASIC,BASIC,"$75,217,450",$0.01214,6.197.623.594 BASIC *,$12.771.851,"2,07%","-6,71%","-22,92%"
508,Apollo Currency,APL,"$75,071,209",$0.003547,21.165.096.531 APL *,$8.461.999,"1,46%","-0,37%","-13,29%"
509,Contentos,COS,"$75,900,408",$0.0217,3.497.746.760 COS *,$16.615.953,"5,55%","10,32%","0,85%"
510,Bounce Token,AUCTION,"$74,623,305",$35.81,2.083.956 AUCTION *,$30.810.343,"0,83%","-3,84%","-1,13%"
511,StarTerra,STT,"$74,519,262",$6.90,10.795.316 STT *,$3.711.581,"1,36%","2,91%","7,52%"
512,GameFi,GAFI,"$73,478,466",$73.62,998.099 GAFI *,$18.330.957,"-0,08%","0,06%","-4,81%"
513,Sologenic,SOLO,"$73,293,559",$0.3665,200.001.808 SOLO *,$962.712,"-10,12%","104,62%","247,79%"
514,Keep3rV1,KP3R,"$72,843,549",$364.22,200.001 KP3R *,$3.866.912,"1,87%","-4,48%","8,99%"
515,Metronome,MET,"$72,060,237",$5.89,12.239.211 MET *,$183.674,"-0,30%","4,72%","17,09%"
516,CUDOS,CUDOS,"$71,953,060",$0.03567,2.017.154.963 CUDOS *,$934.528,"0,52%","6,45%","32,08%"
517,Beam,BEAM,"$71,437,297",$0.7145,99.976.280 BEAM,$9.378.131,"-0,24%","0,42%","-6,70%"
518,RChain,REV,"$71,389,845",$0.1141,625.580.919 REV *,$559.612,"-0,97%","-2,25%","-8,41%"
519,Selfkey,KEY,"$70,388,171",$0.01422,4.949.969.446 KEY *,$49.337.673,"28,00%","31,86%","19,16%"
520,Qcash,QC,"$70,118,375",$0.1524,460.000.200 QC *,$227.944.566,"0,07%","-0,50%","-0,27%"
521,Bytecoin,BCN,"$69,912,705",$0.0003798,184.066.828.814 BCN,$236.381,"-0,28%","-8,51%","14,69%"
522,Steem Dollars,SBD,"$69,639,440",$7.36,9.462.206 SBD *,$19.713.946,"0,35%","2,55%","-1,52%"
523,Hacken Token,HAI,"$69,541,123",$0.1534,453.246.166 HAI *,$10.874.291,"-0,23%","19,08%","26,45%"
524,ReddCoin,RDD,"$69,432,209",$0.002284,30.397.274.955 RDD *,$601.637,"-4,15%","3,84%","1,32%"
525,Lamden,TAU,"$69,388,102",$0.4879,142.215.728 TAU *,$2.492.296,"2,37%","-12,14%","269,35%"
526,Moss Coin,MOC,"$69,086,783",$0.1881,367.194.689 MOC *,$194.394.850,"1,84%","-10,16%","10,22%"
527,MovieBloc,MBL,"$68,020,730",$0.01035,6.572.124.703 MBL *,$27.912.258,"0,41%","4,01%","2,61%"
528,DigixDAO,DGD,"$67,392,371",$815.52,82.637 DGD *,$18.110,"0,10%","-1,12%","7,34%"
529,DAD,DAD,"$67,001,151",$0.1838,364.533.968 DAD *,$1.937.534,"0,18%","-6,76%","-7,76%"
530,FIO Protocol,FIO,"$66,990,296",$0.1847,362.778.854 FIO *,$10.042.530,"0,15%","3,14%","-2,02%"
531,VerusCoin,VRSC,"$66,377,354",$1.02,65.054.821 VRSC,$50.571,"0,18%","-7,21%","3,34%"
532,Burger Swap,BURGER,"$66,347,126",$3.88,17.084.704 BURGER *,$13.464.400,"-0,37%","-1,03%","-6,26%"
533,FirmaChain,FCT,"$65,853,784",$0.1959,336.216.862 FCT *,$124.757.986,"-0,42%","10,08%","9,83%"
534,SifChain,ROWAN,"$66,108,688",$0.2408,274.518.157 ROWAN *,$2.151.542,"0,60%","-8,43%","0,00%"
535,Marlin,POND,"$66,009,443",$0.08958,736.908.424 POND *,$26.197.707,"-1,11%","1,23%","-3,40%"
536,Dusk Network,DUSK,"$65,913,735",$0.1732,380.663.707 DUSK *,$4.714.333,"1,70%","8,34%","3,53%"
537,Neutrino Token,NSBT,"$65,895,171",$30.49,2.161.102 NSBT *,$235.759,"2,46%","4,53%","5,45%"
538,BTU Protocol,BTU,"$65,713,326",$0.726,90.514.216 BTU *,$15.197,"-0,17%","-0,06%","3,54%"
539,Veritaseum,VERI,"$65,548,534",$30.49,2.149.646 VERI *,$28.694,"0,38%","9,91%","18,07%"
540,Tornado Cash,TORN,"$65,421,526",$59.49,1.099.795 TORN *,$9.780.331,"-0,07%","-5,13%","-11,10%"
541,BOSAGORA,BOA,"$64,757,117",$0.2133,303.595.031 BOA *,$17.038.249,"3,29%","-8,95%","56,76%"
542,UBIX.Network,UBX,"$64,020,313",$0.001405,45.558.153.243 UBX *,$4.833.770,"2,94%","-8,40%","-13,01%"
543,BitMart Token,BMX,"$63,843,632",$0.3675,173.717.945 BMX *,$15.560.592,"-2,33%","-3,56%","1,57%"
544,GoMining token,GMT,"$63,631,194",$0.4332,146.895.238 GMT *,$1.816.118,"0,18%","-0,38%","-5,10%"
545,NFTX,NFTX,"$63,625,466",$157.38,404.286 NFTX *,$299.975,"0,27%","1,76%","-4,41%"
546,Paris Saint-Germain Fan Token,PSG,"$63,203,096",$20.35,3.106.437 PSG *,$12.167.053,"-0,35%","-1,16%","-9,88%"
547,Hydra,HYDRA,"$63,050,495",$16.34,3.858.584 HYDRA *,$1.317.303,"-2,43%","-3,64%","-13,12%"
548,ShareToken,SHR,"$61,927,024",$0.02642,2.344.061.766 SHR *,$1.494.595,"-0,07%","-1,17%","-10,30%"
549,PowerPool,CVP,"$61,624,092",$1.74,35.488.590 CVP *,$42.699.222,"-0,30%","-12,14%","-4,78%"
550,Cream Finance,CREAM,"$61,541,354",$99.84,616.378 CREAM *,$8.552.559,"-2,33%","-0,65%","-35,65%"
551,Dock,DOCK,"$61,257,634",$0.08387,730.400.341 DOCK *,$36.655.591,"-2,41%","3,82%","2,48%"
552,VideoCoin,VID,"$61,229,528",$0.3916,156.339.646 VID *,$143.262,"-2,68%","-4,45%","-13,97%"
553,REVV,REVV,"$61,052,283",$0.2194,278.270.642 REVV *,$13.790.785,"0,32%","-10,36%","53,00%"
554,Aleph.im,ALEPH,"$60,989,755",$0.4756,128.235.740 ALEPH,$2.223.271,"1,05%","9,44%","-5,13%"
555,Chain Guardians,CGG,"$60,550,039",$1.71,35.373.008 CGG *,$9.572.074,"0,33%","-4,00%","26,85%"
556,Valobit,VBIT,"$60,241,464",$0.05017,1.200.806.964 VBIT *,$137.206,"0,43%","-5,86%","3,17%"
557,Kava Swap,SWP,"$59,974,111",$1.77,33.854.166 SWP *,$834.776,"-0,19%","-4,22%","-5,61%"
558,Kryll,KRL,"$59,548,658",$1.60,37.233.693 KRL *,$2.079.185,"0,91%","-1,94%","88,17%"
559,LATOKEN,LA,"$58,768,391",$0.1546,380.104.462 LA *,$11.703,"-0,11%","-0,25%","24,98%"
560,Maple,MPL,"$58,489,250",$20.93,2.794.482 MPL *,$707.415,"0,32%","-6,16%","-10,40%"
561,GNY,GNY,"$58,455,558",$0.3039,192.376.657 GNY *,$89.624,"-2,38%","-5,15%","-0,36%"
562,Covalent,CQT,"$57,346,013",$1.15,49.665.076 CQT *,$9.205.211,"1,46%","3,30%","-3,07%"
563,Venus BUSD,vBUSD,"$56,789,125",$0.02107,2.694.770.470 vBUSD *,$?,"0,00%","0,00%","0,20%"
564,Epic Cash,EPIC,"$56,677,957",$3.34,16.959.512 EPIC,$115.765,"5,79%","-7,41%","132,53%"
565,ChainX,PCX,"$56,595,712",$5.04,11.238.875 PCX *,$3.087.248,"8,17%","8,86%","22,14%"
566,Polychain Monsters,PMON,"$55,900,142",$16.39,3.410.185 PMON *,$3.368.815,"-0,28%","15,10%","18,76%"
567,NULS,NULS,"$55,537,316",$0.5575,99.620.739 NULS,$9.678.673,"1,09%","-0,44%","-2,78%"
568,Atari Token,ATRI,"$55,272,168",$0.06232,886.959.940 ATRI *,$7.532.809,"-0,80%","27,62%","37,82%"
569,Maro,MARO,"$54,306,703",$0.1094,496.532.789 MARO *,$3.408.690,"1,72%","-2,69%","-10,58%"
570,Auto,AUTO,"$54,172,285","$1,022.07",53.003 AUTO *,$8.892.337,"0,06%","-2,08%","-8,27%"
571,Reflexer Ungovernance Token,FLX,"$54,158,869",$374.81,144.498 FLX *,$1.237.847,"0,71%","-4,24%","2,96%"
572,VITE,VITE,"$53,999,910",$0.1094,493.542.096 VITE *,$19.268.105,"1,19%","-4,19%","-0,65%"
573,Phoenix Global,PHB,"$53,604,281",$0.01446,3.706.895.572 PHB *,$2.658.476,"1,79%","-8,34%","14,54%"
574,Polkadex,PDEX,"$53,392,954",$16.83,3.172.895 PDEX *,$1.660.390,"-1,52%","1,94%","-4,26%"
575,saffron.finance,SFI,"$53,350,616",$584.31,91.306 SFI *,$444.151,"0,85%","-0,63%","4,94%"
576,SparkPoint,SRK,"$53,344,711",$0.006459,8.258.958.105 SRK *,$4.996.587,"-0,96%","22,33%","34,35%"
577,Efinity Token,EFI,"$53,054,293",$0.9685,54.780.739 EFI *,$46.051.494,"-4,28%","4,65%","15,60%"
578,unFederalReserve,eRSDL,"$52,989,426",$0.1401,378.153.580 eRSDL *,$3.548.281,"0,69%","-10,39%","-1,18%"
579,SingularityDAO,SDAO,"$52,970,563",$2.32,22.786.479 SDAO *,$5.362.412,"0,18%","-5,29%","-2,07%"
580,Counterparty,XCP,"$52,795,535",$20.20,2.613.892 XCP *,$838.303,"-0,57%","4,36%","-0,70%"
581,PIVX,PIVX,"$52,761,173",$0.7824,67.438.635 PIVX *,$1.598.957,"-6,78%","1,37%","2,23%"
582,FaraLand,FARA,"$52,634,743",$3.69,14.272.100 FARA *,$2.854.998,"0,92%","1,16%","1,68%"
583,Super Zero Protocol,SERO,"$52,522,752",$0.1579,332.682.429 SERO *,$1.903.259,"0,31%","2,63%","-7,69%"
584,Unifi Protocol DAO,UNFI,"$52,366,563",$11.12,4.709.091 UNFI *,$8.968.247,"1,32%","-0,19%","-3,24%"
585,STARSHIP,STARSHIP,"$52,138,701",$2.76,18.908.258 STARSHIP *,$826.991,"0,01%","7,69%","390,49%"
586,LikeCoin,LIKE,"$51,931,500",$0.0489,1.061.926.874 LIKE *,$220.143,"-0,27%","-0,08%","63,68%"
587,Manchester City Fan Token,CITY,"$51,926,745",$14.80,3.508.140 CITY *,$3.172.103,"-0,57%","-1,45%","-10,43%"
588,Belt Finance,BELT,"$51,897,021",$6.59,7.877.329 BELT *,$921.994,"0,07%","-1,33%","-1,41%"
589,ForTube,FOR,"$51,784,214",$0.08097,639.520.000 FOR *,$17.776.012,"0,52%","-2,41%","-16,37%"
590,Crust Network,CRU,"$51,770,078",$25.33,2.043.631 CRU *,$8.998.782,"1,75%","9,80%","-1,22%"
591,FC Barcelona Fan Token,BAR,"$51,747,161",$14.57,3.551.021 BAR *,$6.083.720,"-0,35%","-1,74%","-9,40%"
592,SOLVE,SOLVE,"$51,737,036",$0.1194,433.324.963 SOLVE *,$10.382.531,"0,34%","-10,17%","-65,23%"
593,Ultiledger,ULT,"$51,694,030",$0.01823,2.836.429.509 ULT *,$71.542,"0,53%","5,65%","27,29%"
594,Rubic,RBC,"$51,605,720",$0.4734,109.000.000 RBC *,$2.568.856,"1,85%","-9,25%","-19,90%"
595,Dragonchain,DRGN,"$51,475,133",$0.139,370.374.090 DRGN *,$395.037,"-0,51%","1,71%","-1,20%"
596,Umbrella Network,UMB,"$51,010,107",$0.6888,74.060.182 UMB *,$5.518.926,"-2,03%","-10,23%","24,42%"
597,GamerCoin,GHX,"$50,408,410",$0.153,329.542.854 GHX *,$17.645.564,"9,70%","22,18%","141,63%"
598,Mithril,MITH,"$50,394,656",$0.05039,1.000.000.000 MITH *,$13.182.063,"-0,01%","-2,79%","2,91%"
599,AXEL,AXEL,"$50,333,513",$0.1787,281.610.018 AXEL *,$217.598,"-0,36%","-4,57%","11,97%"
600,v.systems,VSYS,"$50,076,280",$0.02082,2.405.401.858 VSYS *,$3.067.424,"-1,83%","-2,33%","-5,02%"
601,Epic Cash,EPIC,"$49,920,990",$2.94,16.959.512 EPIC,$110.766,"3,14%","-18,45%","149,97%"
602,CoinEx Token,CET,"$49,814,356",$0.0703,708.633.582 CET *,$1.213.599,"0,46%","0,34%","12,23%"
603,AhaToken,AHT,"$49,750,007",$0.0166,2.996.627.974 AHT *,$16.406.281,"1,05%","5,42%","0,78%"
604,GameZone,GZONE,"$49,616,864",$0.7766,63.890.302 GZONE *,$6.873.666,"-3,30%","-3,91%","-8,95%"
605,VIDT Datalink,VIDT,"$49,111,916",$0.9936,49.428.303 VIDT *,$17.275.167,"2,56%","1,92%","-5,21%"
606,GXChain,GXC,"$47,983,111",$0.6398,75.000.000 GXC *,$6.357.336,"1,10%","-3,49%","-6,76%"
607,PlatonCoin,PLTC,"$47,847,790",$0.5372,89.072.521 PLTC *,$299.455,"0,01%","1,78%","-2,85%"
608,GamerCoin,GHX,"$47,189,294",$0.1432,329.542.854 GHX *,$15.929.933,"16,06%","11,16%","134,28%"
609,New BitShares,NBS,"$47,696,293",$0.01829,2.607.670.560 NBS *,$5.448.515,"-0,61%","-2,36%","-7,88%"
610,NFTb,NFTB,"$47,280,747",$0.445,106.243.272 NFTB *,$12.923.682,"5,77%","17,14%","50,37%"
611,YIELD App,YLD,"$47,093,009",$0.363,129.728.852 YLD *,$565.891,"0,00%","-5,02%","-13,73%"
612,Vega Protocol,VEGA,"$46,698,289",$14.52,3.215.647 VEGA *,$6.068.047,"-0,82%","1,55%","1,52%"
613,DEXTools,DEXT,"$46,710,606",$0.4656,100.328.833 DEXT *,$831.188,"-0,62%","9,33%","18,92%"
614,Pendle,PENDLE,"$45,793,062",$0.724,63.251.271 PENDLE *,$1.976.834,"-1,48%","-7,94%","-14,75%"
615,Lotto,LOTTO,"$45,194,521",$0.0226,2.000.000.000 LOTTO *,$51.983,"-9,41%","76,96%","71,97%"
616,MAP Protocol,MAP,"$45,117,044",$0.04037,1.117.715.219 MAP *,$4.322.153,"-3,10%","-9,93%","41,81%"
617,MixMarvel,MIX,"$44,929,068",$0.01017,4.419.553.711 MIX *,$30.457.381,"0,46%","-36,03%","63,39%"
618,AirSwap,AST,"$44,533,599",$0.2969,150.000.000 AST *,$15.714.141,"-6,13%","14,09%","22,31%"
619,AMO Coin,AMO,"$44,537,500",$0.002328,19.127.675.560 AMO *,$713.397,"-0,33%","-5,13%","-1,37%"
620,Aeternity,AE,"$44,217,042",$0.1279,345.831.604 AE,$7.436.848,"0,68%","0,03%","-5,04%"
621,Gifto,GTO,"$44,223,314",$0.05742,770.236.879 GTO *,$80.039.594,"2,56%","16,03%","28,58%"
622,DSLA Protocol,DSLA,"$44,026,940",$0.008062,5.461.172.878 DSLA *,$604.608,"-0,24%","-0,34%","-19,19%"
623,MimbleWimbleCoin,MWC,"$43,952,223",$4.07,10.787.675 MWC *,$183.115,"0,37%","-8,69%","11,07%"
624,CUTcoin,CUT,"$43,861,846",$0.2943,149.020.939 CUT *,$604,"0,31%","6,51%","-16,62%"
625,Lightning,LIGHT,"$43,820,603",$0.6818,64.269.692 LIGHT *,$1.075.403,"0,10%","20,74%","-23,22%"
626,KARMA,KARMA,"$43,740,966",$0.008025,5.450.532.381 KARMA *,$1492,"0,17%","-6,67%","-13,72%"
627,Raiden Network Token,RDN,"$43,943,882",$0.6579,66.793.931 RDN *,$2.289.359,"-3,15%","7,37%","5,75%"
628,Vertcoin,VTC,"$43,449,437",$0.6957,62.454.447 VTC,$9.041.169,"-2,53%","-15,06%","41,59%"
629,MAPS,MAPS,"$43,189,633",$0.8506,50.776.210 MAPS *,$411.213,"1,23%","-2,00%","-8,33%"
630,PERL.eco,PERL,"$43,108,472",$0.08781,490.938.908 PERL *,$3.611.907,"0,40%","-0,28%","-2,48%"
631,APY.Finance,APY,"$42,998,157",$0.8208,52.384.762 APY *,$529.790,"-0,14%","-6,42%","-0,87%"
632,Rainicorn,RAINI,"$42,829,571",$0.09274,461.844.903 RAINI *,$973.967,"0,37%","-3,15%","34,94%"
633,pNetwork,PNT,"$42,822,872",$1.09,39.349.588 PNT *,$9.324.288,"0,69%","-4,22%","-4,57%"
634,WagyuSwap,WAG,"$42,756,561",$1.59,26.969.058 WAG *,$3.576.515,"14,89%","8,37%","218,32%"
635,Poseidon Network,QQQ,"$42,515,896",$0.0193,2.202.875.408 QQQ *,$163.090,"-0,43%","-1,23%","-17,06%"
636,Shopping,SPI,"$42,472,355",$45.83,926.774 SPI *,$1.685.636,"-0,36%","-10,98%","1,59%"
637,Invictus Hyperion Fund,IHF,"$42,300,744",$0.3582,118.088.835 IHF *,$9389,"0,04%","0,06%","-3,77%"
638,DeXe,DEXE,"$42,190,841",$12.12,3.480.031 DEXE *,$14.362.071,"0,47%","-2,29%","-7,06%"
639,GoChain,GO,"$41,634,030",$0.03775,1.102.826.533 GO *,$3.675.334,"-0,27%","-2,81%","-4,15%"
640,Kylin,KYL,"$41,136,834",$0.2659,154.725.763 KYL *,$2.343.199,"-1,60%","14,28%","6,31%"
641,Quantstamp,QSP,"$41,362,809",$0.05795,713.801.947 QSP *,$1.206.473,"2,19%","-5,88%","0,76%"
642,HAPI,HAPI,"$41,289,965",$89.63,460.695 HAPI *,$4.797.552,"-0,74%","-4,52%","-13,13%"
643,mStable USD,MUSD,"$41,087,436",$1.00,41.085.970 MUSD *,$172.101,"-0,06%","-1,91%","-1,21%"
644,GET Protocol,GET,"$41,062,514",$3.61,11.388.258 GET *,$162.531,"1,34%","-3,84%","17,40%"
645,Huobi Pool Token,HPT,"$41,059,196",$0.006538,6.280.068.346 HPT *,$1.548.653,"0,31%","4,42%","22,71%"
646,Eden,EDEN,"$40,872,381",$3.09,13.232.627 EDEN *,$10.834.637,"-0,65%","-6,80%","-7,40%"
647,ZeroSwap,ZEE,"$40,714,925",$0.6749,60.331.748 ZEE *,$3.105.109,"-3,27%","-5,53%","49,84%"
648,Exeedme,XED,"$40,451,218",$0.6284,64.367.999 XED *,$2.796.436,"-1,07%","-0,34%","56,25%"
649,Ariva,ARV,"$40,392,405",$0.0007915,51.033.349.029 ARV *,$9.754.402,"1,26%","8,54%","-21,67%"
650,Smartlands Network,SLT,"$40,348,752",$7.91,5.100.896 SLT *,$128.897,"0,08%","-3,96%","-18,40%"
651,Banano,BAN,"$39,978,474",$0.02997,1.333.913.754 BAN *,$4.775.883,"-5,44%","-17,88%","214,77%"
652,PAID Network,PAID,"$39,841,918",$0.4796,83.070.175 PAID *,$313.842,"-0,63%","-2,69%","-13,59%"
653,PolkaBridge,PBR,"$39,845,756",$1.11,35.942.784 PBR *,$9.126.609,"2,66%","56,60%","84,12%"
654,The Midas Touch Gold,TMTG,"$39,233,229",$0.00444,8.835.594.141 TMTG *,$2.876.001,"4,80%","-1,60%","3,16%"
655,Cortex,CTXC,"$39,611,986",$0.2134,185.591.783 CTXC,$12.345.150,"0,27%","4,41%","-2,86%"
